category,instruction_1,instruction_2,choice_1,choice_2,choice_3,choice_4,choice_5,answer
metaphar,隣のお姉さんは、いつもきれいにお化粧をして出かけます。それを見た私の弟は、「お姉さんはお化粧で化けることができるんだね。」と言いました。,弟は隣のお姉さんのことを,お化けになったと思いました。,たぬきに化けたと思いました。,嫌いになりました。,別人のようになったと思いました。,わかりません。,4
sarcasm,お母さんが家に帰ってみると、脱ぎすてられた次郎の洋服が部屋中に散らばっていました。それをみてお母さんは「次郎はいつもきちんとしているわ。」と言いました。,お母さんは次郎のことを,きちんとしている子どもだと思っています。,だらしないと思っています。,男の子だと思っています。,お風呂に入ったと思っています。,わかりません。,2
metaphar,サッカーをやらせたら、この学校で太郎の右に出る人はいません。,太郎は,サッカーが一番じょうずです。,サッカーが一番へたです。,みんなの右側にすわっています。,サッカーをしようと思いました。,わかりません。,1
sarcasm,今日は家族みんなでレストランに行きました。太郎と次郎は食事中も大はしゃぎでした。すると隣の席のおばさんが「たいそうおとなしいお子さん達ですこと。」といいました。,おばさんは太郎と次郎のことを,行儀が悪いと言っています。,おとなしいと言っています。,かわいいと言っています。,子供だと言っています。,わかりません。,1
metaphar,警察官は「犯人をしばらく泳がせておこう。」と言いました。,警察官は犯人を,海に連れて行って泳がせようとしています。,友達だと思っています。,自由にさせようとしています。,プールに行こうと誘っています。,わかりません。,3
sarcasm,三郎の部屋は紙くずだらけで、すわる場所もない状態でした。その部屋に入ったとき花子は「いつもきれいにしているのね。」と言いました。,花子は三郎の部屋を,明るいと思っています。,狭いと思っています。,散らかっていると思っています。,きれいだと思っています。,わかりません。,3
metaphar,五郎はリレー競技でいつも一番になります。太郎は五郎がごぼう抜きにするのを見て「ほら、五郎くんはまるでチーターだ。」と叫びました。,太郎は五郎のことを,チーターだったと言っています。,ハンサムだと言っています。,足がとても速いと言っています。,ごぼうを抜いていると言っています。,わかりません。,3
sarcasm,おじいさんの家の庭は草ぼうぼうでした。庭に入ってきたおばあさんは「まあなんてきれいな庭だこと。」と言いました。,おばあさんはおじいさんの庭を,きれいだと思っています。,美人だと思っています。,あれはてていると思っています。,広いと思っています。,わかりません。,3
metaphar,おばあさんは、私の赤いホッペを見て「リンゴみたい。食べちゃおうかしら。」と言いました。,私はこう思いました。,おばあさんはリンゴが好きです。,おばあさんはリンゴを食べたがっています。,おばあさんは私のほっぺを食べたがっています。,おばあさんは私をかわいいと思っています。,わかりません。,4
sarcasm,清子は、ボロボロになって穴のあいている私のクツを見て、「ずいぶんと素敵なクツですね。」と言いました。,清子は私のクツを,新しいと思っています。,素敵だと思っています。,みすぼらしいと思っています。,涼しそうだと思っています。,わかりません。,3
